nev,latin név,leiras
állatok világa,Animalia,
ragadozók rendje,Carnivora,
macskaalkatúak alrendje,Feliformia,
madagaszkári cibetmacskafélék családja,Eupleridae,
macskafélék családja,Felidae,https://hu.wikipedia.org/wiki/Macskaf%C3%A9l%C3%A9k
macskaformák alcsaládja,Felinae,https://hu.wikipedia.org/wiki/Macskaform%C3%A1k
párducformák alcsaládja,Pantherinae,
kardfogú macskák alcsaládja – kihalt,Machairodontinae,
mongúzfélék családja,Herpestidae,
hiénafélék családja,Hyaenidae,
cibetmacskafélék családja,Viverridae,
pálmacibetfélék családja,Nandiniidae,
kutyaalkatúak alrendje,Caniformia,
macskamedvefélék családja,Ailuridae,
kutyafélék családja,Canidae,https://hu.wikipedia.org/wiki/Kutyaf%C3%A9l%C3%A9k
bűzösborzfélék családja,Mephitidae,
menyétfélék családja,Mustelidae,
vidraformák alcsaládja,Lutrinae,
borzformák alcsaládja,Melinae,
méhészborzformák,Mellivorinae,
amerikai borzformák,Taxidiinae,
menyétformák alcsaládja,Mustelinae,
mosómedvefélék családja,Procyonidae,
medvefélék családja,Ursidae,
úszólábúak öregcsaládja,Pinnipedia,
rozmárfélék családja,Odobenidae,
fülesfókafélék családja,Otariidae,
valódi fókafélék családja,Phocidae,